Heel 00

Hydrostatics for trim 4.0m by Stern

Curves



Tables




Trim -4.00 metres 
Heel 0.00 degrees 
   
Shell thickness 12.00000 mm 
Keel thickness 14.00000 mm 
Hog (+ve)/ Sag (-ve) 0.00000 metres 
Water density 1.02500 tonnes/cu.m 


All drafts are moulded

Hydrostatics


Trim Draft Displt LCB TCB VCB WPA LCF KML KMT BML BMT IL IT TPC MTC WSA 
(m) (m) (t) (m) (m) (m) (m^2) (m) (m) (m) (m) (m) (m^4) (m^4) (t/cm) (t-m/cm) (m^2) 

-4.00 1.00 878.86 28.067 -0.000 0.909 754.59 35.949 204.879 14.927 203.971 14.018 174889.0 12019.7 7.73 21.16 847.63 
-4.00 1.03 902.30 28.277 0.000 0.919 764.77 36.246 207.181 14.791 206.261 13.872 181570.9 12211.2 7.84 21.97 860.24 
-4.00 1.06 926.09 28.486 -0.000 0.930 774.84 36.541 209.408 14.653 208.478 13.723 188359.8 12399.2 7.94 22.79 872.79 
-4.00 1.09 950.13 28.695 0.000 0.940 784.79 36.833 211.578 14.515 210.638 13.574 195251.1 12582.8 8.04 23.63 885.28 
-4.00 1.12 974.51 28.903 0.000 0.951 794.61 37.123 213.676 14.374 212.725 13.423 202247.7 12762.3 8.14 24.48 897.72 
                 
-4.00 1.15 999.19 29.111 0.000 0.961 804.36 37.410 215.737 14.235 214.776 13.273 209367.9 12939.1 8.24 25.34 910.11 
-4.00 1.18 1024.16 29.318 0.000 0.972 814.01 37.694 217.739 14.095 216.768 13.124 216590.0 13112.9 8.34 26.21 922.44 
-4.00 1.21 1049.43 29.524 0.000 0.982 823.45 37.971 219.589 13.957 218.607 12.974 223816.9 13283.6 8.44 27.09 934.60 
-4.00 1.24 1074.97 29.729 0.000 0.993 832.59 38.238 221.228 13.817 220.235 12.824 230970.6 13449.4 8.53 27.95 946.51 
-4.00 1.27 1100.79 29.932 0.000 1.004 841.71 38.504 222.886 13.677 221.882 12.673 238288.7 13610.4 8.63 28.84 958.44 
                 
-4.00 1.30 1126.89 30.135 0.000 1.014 850.85 38.772 224.604 13.537 223.590 12.523 245814.9 13767.6 8.72 29.75 970.43 
-4.00 1.33 1153.27 30.337 0.000 1.025 859.79 39.032 226.188 13.395 225.163 12.370 253341.0 13918.3 8.81 30.66 982.23 
-4.00 1.36 1179.92 30.537 -0.000 1.036 868.32 39.279 227.507 13.248 226.471 12.212 260701.1 14058.0 8.90 31.55 993.68 
-4.00 1.39 1206.82 30.735 0.000 1.046 876.47 39.515 228.601 13.096 227.555 12.050 267918.7 14186.9 8.98 32.42 1004.81 
-4.00 1.42 1233.96 30.932 0.000 1.057 884.32 39.741 229.520 12.941 228.463 11.884 275037.5 14306.5 9.06 33.28 1015.68 
                 
-4.00 1.45 1261.33 31.127 0.000 1.068 891.98 39.963 230.377 12.784 229.309 11.717 282180.1 14417.9 9.14 34.15 1026.43 
-4.00 1.48 1288.93 31.319 0.000 1.079 899.45 40.180 231.168 12.627 230.089 11.549 289335.5 14522.4 9.22 35.01 1037.04 
-4.00 1.51 1316.76 31.510 0.000 1.090 906.58 40.386 231.739 12.471 230.649 11.382 296301.9 14621.2 9.29 35.86 1047.33 
-4.00 1.54 1344.80 31.698 0.000 1.101 913.43 40.582 232.157 12.316 231.056 11.215 303145.7 14714.6 9.36 36.69 1057.39 
-4.00 1.57 1373.05 31.884 0.000 1.112 920.14 40.775 232.536 12.162 231.425 11.051 310007.8 14802.9 9.43 37.52 1067.35 
                 
-4.00 1.60 1401.49 32.067 0.000 1.123 926.44 40.953 232.657 12.010 231.534 10.887 316577.3 14885.8 9.50 38.31 1076.93 
-4.00 1.63 1430.09 32.247 0.000 1.134 931.87 41.099 232.104 11.858 230.970 10.724 322252.1 14962.3 9.55 39.00 1085.68 
-4.00 1.66 1458.86 32.424 0.000 1.145 936.99 41.233 231.380 11.708 230.234 10.563 327687.2 15034.1 9.60 39.66 1094.12 
-4.00 1.69 1487.77 32.597 0.000 1.156 941.76 41.356 230.454 11.561 229.297 10.404 332821.8 15101.4 9.65 40.28 1102.29 
-4.00 1.72 1516.83 32.767 0.000 1.168 946.10 41.466 229.282 11.414 228.115 10.246 337571.5 15161.9 9.70 40.85 1110.08 
                 
-4.00 1.75 1545.99 32.933 0.000 1.179 950.11 41.565 227.938 11.269 226.759 10.090 342017.2 15218.6 9.74 41.39 1117.60 
-4.00 1.78 1575.30 33.096 0.000 1.191 953.84 41.654 226.449 11.128 225.258 9.937 346193.8 15271.9 9.78 41.89 1124.87 
-4.00 1.81 1604.70 33.254 0.000 1.203 957.26 41.732 224.789 10.990 223.586 9.787 350037.0 15322.3 9.81 42.36 1131.87 
-4.00 1.84 1634.19 33.409 -0.000 1.214 960.39 41.799 222.964 10.855 221.750 9.640 353544.0 15370.0 9.84 42.78 1138.62 
-4.00 1.87 1663.77 33.559 -0.000 1.226 963.21 41.855 220.968 10.723 219.741 9.497 356682.2 15415.3 9.87 43.16 1145.11 
                 
-4.00 1.90 1693.44 33.706 0.000 1.238 965.85 41.903 218.900 10.595 217.662 9.357 359607.4 15458.4 9.90 43.52 1151.45 
-4.00 1.93 1723.18 33.848 0.000 1.250 968.30 41.943 216.764 10.470 215.514 9.220 362311.8 15500.0 9.93 43.85 1157.63 
-4.00 1.96 1752.99 33.987 0.000 1.263 970.60 41.977 214.588 10.349 213.325 9.087 364837.1 15540.6 9.95 44.15 1163.70 
-4.00 1.99 1782.85 34.122 0.000 1.275 972.78 42.005 212.395 10.232 211.120 8.957 367215.2 15579.6 9.97 44.44 1169.67 
-4.00 2.02 1812.82 34.253 0.000 1.287 974.85 42.030 210.192 10.118 208.905 8.830 369469.3 15617.1 9.99 44.71 1175.56 
                 
-4.00 2.05 1842.82 34.381 0.000 1.300 976.82 42.050 208.003 10.006 206.704 8.706 371627.7 15653.1 10.01 44.97 1181.39 
-4.00 2.08 1872.89 34.505 0.000 1.312 978.71 42.066 205.833 9.898 204.521 8.586 373701.5 15687.7 10.03 45.22 1187.16 
-4.00 2.11 1903.01 34.625 0.000 1.325 980.54 42.080 203.688 9.793 202.363 8.468 375705.4 15721.3 10.05 45.47 1192.90 
-4.00 2.14 1933.19 34.742 0.000 1.338 982.31 42.091 201.573 9.691 200.235 8.353 377650.1 15754.1 10.07 45.70 1198.60 
-4.00 2.17 1963.41 34.856 0.000 1.351 984.03 42.099 199.490 9.592 198.139 8.241 379540.6 15786.3 10.09 45.93 1204.27 
                 
-4.00 2.20 1993.69 34.966 0.000 1.364 985.70 42.105 197.440 9.496 196.077 8.132 381382.2 15817.6 10.10 46.15 1209.92 
-4.00 2.23 2024.02 35.074 0.000 1.377 987.32 42.108 195.424 9.402 194.047 8.026 383176.4 15848.0 10.12 46.37 1215.54 
-4.00 2.26 2054.40 35.179 0.000 1.390 988.90 42.109 193.442 9.311 192.052 7.922 384929.2 15877.5 10.14 46.58 1221.14 
-4.00 2.29 2084.83 35.280 0.000 1.403 990.44 42.109 191.495 9.223 190.092 7.820 386644.6 15906.2 10.15 46.79 1226.73 
-4.00 2.32 2115.32 35.379 0.000 1.416 991.93 42.106 189.585 9.137 188.169 7.721 388328.7 15934.0 10.17 46.99 1232.30 
                 
-4.00 2.35 2145.82 35.475 0.000 1.429 993.40 42.101 187.713 9.053 186.284 7.624 389983.0 15960.9 10.18 47.19 1237.87 
-4.00 2.38 2176.39 35.569 0.000 1.443 994.83 42.094 185.878 8.972 184.435 7.529 391612.5 15987.1 10.20 47.39 1243.43 
-4.00 2.41 2206.99 35.660 0.000 1.456 996.23 42.086 184.079 8.893 182.623 7.437 393217.0 16012.2 10.21 47.59 1248.98 
-4.00 2.44 2237.64 35.748 0.000 1.470 997.61 42.076 182.319 8.816 180.849 7.346 394806.6 16036.7 10.23 47.78 1254.54 
-4.00 2.47 2268.34 35.834 0.000 1.483 998.97 42.064 180.600 8.741 179.116 7.258 396387.5 16061.0 10.24 47.97 1260.10 
                 
-4.00 2.50 2299.07 35.917 0.000 1.497 1000.33 42.050 178.923 8.668 177.426 7.171 397966.1 16085.2 10.25 48.16 1265.66 
-4.00 2.53 2329.85 35.999 0.000 1.511 1001.69 42.035 177.289 8.598 175.779 7.087 399549.1 16109.5 10.27 48.35 1271.24 
-4.00 2.56 2360.66 36.078 0.000 1.524 1003.05 42.018 175.699 8.530 174.175 7.005 401139.1 16134.0 10.28 48.54 1276.83 
-4.00 2.59 2391.52 36.155 0.000 1.538 1004.42 41.999 174.152 8.464 172.614 6.926 402741.5 16158.7 10.30 48.74 1282.44 
-4.00 2.62 2422.42 36.229 0.000 1.552 1005.81 41.979 172.648 8.400 171.096 6.848 404357.7 16183.8 10.31 48.93 1288.07 
                 
-4.00 2.65 2453.37 36.302 0.000 1.566 1007.20 41.957 171.186 8.338 169.620 6.772 405991.0 16209.4 10.32 49.13 1293.71 
-4.00 2.68 2484.35 36.373 0.000 1.580 1008.61 41.934 169.765 8.278 168.185 6.698 407641.2 16235.4 10.34 49.33 1299.38 
-4.00 2.71 2515.40 36.441 0.000 1.594 1010.03 41.910 168.380 8.221 166.786 6.627 409301.0 16261.8 10.35 49.53 1305.06 
-4.00 2.74 2546.46 36.508 0.000 1.608 1011.46 41.885 167.033 8.165 165.425 6.556 410974.9 16288.5 10.37 49.73 1310.75 
-4.00 2.77 2577.58 36.573 0.000 1.622 1012.90 41.858 165.723 8.110 164.101 6.488 412666.3 16315.3 10.38 49.94 1316.46 
                 
-4.00 2.80 2608.75 36.637 0.000 1.637 1014.34 41.831 164.447 8.057 162.811 6.421 414372.2 16341.9 10.40 50.15 1322.19 
-4.00 2.83 2639.95 36.698 0.000 1.651 1015.78 41.802 163.204 8.006 161.553 6.355 416091.2 16367.9 10.41 50.35 1327.94 
-4.00 2.86 2671.21 36.758 0.000 1.665 1017.23 41.773 161.997 7.956 160.332 6.291 417833.9 16393.6 10.43 50.56 1333.70 
-4.00 2.89 2702.50 36.816 0.000 1.680 1018.67 41.744 160.822 7.907 159.142 6.227 419591.9 16418.9 10.44 50.78 1339.48 
-4.00 2.92 2733.84 36.872 0.000 1.694 1020.13 41.714 159.677 7.859 157.983 6.165 421366.6 16444.1 10.46 50.99 1345.27 
                 
-4.00 2.95 2765.23 36.927 0.000 1.709 1021.59 41.684 158.563 7.813 156.854 6.105 423160.3 16469.0 10.47 51.21 1351.07 
-4.00 2.98 2796.66 36.981 0.000 1.723 1023.06 41.653 157.480 7.768 155.757 6.045 424976.3 16494.0 10.49 51.43 1356.90 
-4.00 3.01 2828.14 37.033 0.000 1.738 1024.55 41.621 156.433 7.725 154.695 5.987 426829.1 16519.2 10.50 51.65 1362.74 
-4.00 3.04 2859.67 37.084 0.000 1.752 1026.12 41.587 155.446 7.683 153.694 5.930 428793.0 16545.2 10.52 51.89 1368.66 
-4.00 3.07 2891.25 37.133 0.000 1.767 1027.76 41.550 154.509 7.642 152.742 5.875 430843.0 16572.1 10.53 52.14 1374.63 
                 
-4.00 3.10 2922.87 37.180 0.000 1.782 1029.42 41.512 153.600 7.603 151.819 5.821 432923.4 16599.6 10.55 52.39 1380.63 
-4.00 3.13 2954.55 37.227 0.000 1.796 1031.11 41.474 152.720 7.565 150.924 5.769 435035.5 16628.3 10.57 52.65 1386.64 
-4.00 3.16 2986.28 37.272 0.000 1.811 1032.82 41.436 151.866 7.529 150.054 5.718 437175.7 16657.7 10.59 52.90 1392.67 
-4.00 3.19 3018.07 37.316 0.000 1.826 1034.54 41.397 151.034 7.493 149.208 5.667 439337.1 16686.9 10.60 53.17 1398.71 
-4.00 3.22 3049.90 37.358 0.000 1.841 1036.27 41.358 150.226 7.459 148.385 5.618 441521.5 16715.8 10.62 53.43 1404.78 
                 
-4.00 3.25 3081.79 37.400 0.000 1.856 1038.00 41.319 149.443 7.425 147.587 5.569 443738.6 16744.4 10.64 53.70 1410.86 
-4.00 3.28 3113.73 37.440 0.000 1.871 1039.76 41.278 148.688 7.392 146.817 5.521 445998.2 16772.8 10.66 53.97 1416.97 
